type,url,chunk_count
html,https://www.heidelberg.de/HD/Leben/Masterplan+Klimaschutz.html,1
html,https://www.heidelberg.de/HD/Leben/klimaschutzkonferenz+_icca2019_.html,1
html,https://www.heidelberg.de/HD/Leben/Artenschutzprogramme.html,1
html,https://www.heidelberg.de/HD/Lernen+und+Forschen/Zukunft+lernen.html,1
html,https://www.heidelberg.de/HD/Leben/natuerlich+heidelberg.html,1
html,https://www.heidelberg.de/HD/Leben/abfall+vermeiden.html,1
html,https://www.heidelberg.de/HD/Leben/Abfall+und+Saubere+Stadt.html,1
html,https://www.heidelberg.de/HD/Leben/Sauberes+Heidelberg.html,1
html,https://www.heidelberg.de/HD/Leben/Fruehjahrsputz.html,1
html,https://www.heidelberg.de/HD/Leben/Bioabfall+und+Kompost.html,1
html,https://www.heidelberg.de/HD/Leben/Umwelt+und+Nachhaltigkeit.html#pageTop,1
html,https://www.heidelberg.de/HD/Leben/Natur+und+Landschaft.html#navigation,1
html,https://www.heidelberg.de/HD/Leben/Natur+und+Landschaft.html#inhalt,1
html,https://www.heidelberg.de/HD/Leben/Biologische+Vielfalt.html,1
html,https://www.heidelberg.de/HD/Leben/Eingriffsregelung.html,1
html,https://www.heidelberg.de/HD/Leben/Fliess_+und+Stillgewaesser.html,1
html,https://www.heidelberg.de/HD/Leben/anleinpflicht+fuer+hunde+in+der+brut-_+setz-+und+aufzuchtzeiten.html,1
html,https://www.heidelberg.de/HD/Leben/Stadtwald.html,1
html,https://www.heidelberg.de/HD/Leben/Freizeit+im+Gruenen.html,1
html,https://www.heidelberg.de/HD/Leben/Natur+und+Landschaft.html#pageTop,1
html,https://www.heidelberg.de/HD/Leben/Wohnen.html#navigation,1
html,https://www.heidelberg.de/HD/Leben/Wohnen.html#inhalt,1
html,https://www.heidelberg.de/1468318.html,1
html,https://www.heidelberg.de/HD/Leben/wohnplattform.html,1
html,https://www.heidelberg.de/1350395.html,1
html,https://www.heidelberg.de/HD/Leben/vorhaben+im+wohnungsbau.html,1
html,https://www.heidelberg.de/HD/Rathaus/foerderprogramme.html,1
html,https://www.heidelberg.de/HD/Leben/gemeinschaftliches+wohnen.html,1
html,https://www.heidelberg.de/HD/Leben/Wohnen.html#pageTop,1
html,https://www.heidelberg.de/HD/Leben/ampelbeauftragter.html,1
html,https://www.heidelberg.de/HD/Leben/Barrierefreie+Mobilitaet.html,1
html,https://www.heidelberg.de/HD/Leben/Baustellen+in+Heidelberg.html,1
html,https://www.heidelberg.de/HD/Leben/e-tretroller.html,1
html,https://www.heidelberg.de/HD/Leben/lebendige+verkehrsberuhigte+bereiche.html,1
html,https://www.heidelberg.de/HD/Leben/Parken.html,1
html,https://www.heidelberg.de/HD/Leben/sicherheitsaudit.html,1
html,https://www.heidelberg.de/HD/Leben/Verkehrsplanung.html,1
html,https://www.heidelberg.de/HD/Leben/verkehrsprojekte.html,1
html,https://www.heidelberg.de/HD/Leben/verkehrssicherheit.html,1
html,https://www.heidelberg.de/HD/Leben/RadKULTUR.html,1
html,https://www.heidelberg.de/mobinetz/Start/Gesamtprojekt.html,1
html,https://www.heidelberg.de/hd/HD/Leben/ampelbeauftragter.html,1
html,https://www.heidelberg.de/mobinetz/Start.html,1
html,https://www.heidelberg.de/1350391.html#navigation,1
html,https://www.heidelberg.de/1350391.html#inhalt,1
html,https://www.heidelberg.de/7071_814050_1350391_95564.html,1
html,https://www.heidelberg.de/7071_814050_1350391_2383915.html,1
html,https://www.heidelberg.de/7071_814050_1350391_230955.html,1
html,https://www.heidelberg.de/HD/Rathaus/amt+fuer+stadtentwicklung+und+stadtplanung.html,1
html,https://www.heidelberg.de/7071_814050_1350391_95564_95567.html,1
html,https://www.heidelberg.de/HD/Rathaus/Buergerbeteiligung.html,1
html,https://www.heidelberg.de/HD/Rathaus/Vorhabenliste.html,1
